DATE,RMIDVLTR
2018-02-13,3730.39
2018-02-14,3784.50
2018-02-15,3820.99
2018-02-16,3830.46
2018-02-19,.
2018-02-20,3801.35
2018-02-21,3777.33
2018-02-22,3771.34
2018-02-23,3828.62
2018-02-26,3846.31
2018-02-27,3791.60
2018-02-28,3752.68
2018-03-01,3729.13
2018-03-02,3751.43
2018-03-05,3799.84
2018-03-06,3819.85
2018-03-07,3818.85
2018-03-08,3826.07
2018-03-09,3877.15
2018-03-12,3877.26
2018-03-13,3862.41
2018-03-14,3842.82
2018-03-15,3828.72
2018-03-16,3854.45
2018-03-19,3815.77
2018-03-20,3812.60
2018-03-21,3823.96
2018-03-22,3740.46
2018-03-23,3670.23
2018-03-26,3747.17
2018-03-27,3711.12
2018-03-28,3716.60
2018-03-29,3761.94
2018-03-30,.
2018-04-02,3683.93
2018-04-03,3726.71
2018-04-04,3764.20
2018-04-05,3793.92
2018-04-06,3720.93
2018-04-09,3721.97
2018-04-10,3770.29
2018-04-11,3762.08
2018-04-12,3772.96
2018-04-13,3765.48
2018-04-16,3801.21
2018-04-17,3825.35
2018-04-18,3839.47
2018-04-19,3824.96
2018-04-20,3802.79
2018-04-23,3807.39
2018-04-24,3782.08
2018-04-25,3789.10
2018-04-26,3804.87
2018-04-27,3813.92
2018-04-30,3780.59
2018-05-01,3776.96
2018-05-02,3757.29
2018-05-03,3739.02
